"","Codi.districte","Codi.barri","Codi.carrer","Num.postal.caption","Descripció.dia.setmana","NK.Any","Nom.mes","Dia.de.mes","Hora.de.dia","Descripció.causa.vianant","Desc..Tipus.vehicle.implicat","Descripció.sexe","Descripció.tipus.persona","Edat","Descripció.victimització","Coordenada.UTM..Y.","Coordenada.UTM..X."
"10117",7,41,352507,"0000 0000","Dimarts",2015,"Juny",16,12,"No és causa del  vianant","Motocicleta","Home","Conductor",57,"Ferit lleu",4586835.63,428603.33
"10118",7,42,179901,"0098 0098","Dissabte",2015,"Setembre",12,2,"No és causa del  vianant","Motocicleta","Home","Conductor",44,"Ferit lleu",4586777.68,429377.39
"10119",7,36,67205,"0013 0013","Dissabte",2015,"Novembre",7,11,"No és causa del  vianant","Ciclomotor","Home","Conductor",33,"Ferit lleu",4586522.81,429907.75
"10120",7,36,3600,"0019 0021","Divendres",2015,"Febrer",6,10,"No és causa del  vianant","Ciclomotor","Home","Conductor",24,"Ferit lleu",4586393.17,429854.03
"10121",7,36,19100,"0008 0008","Dimecres",2015,"Octubre",14,8,"No és causa del  vianant","Motocicleta","Home","Conductor",29,"Ferit lleu",4586114.7,429787.06
"10124",7,43,700013,"0001 0001","Dilluns",2015,"Març",9,7,"No és causa del  vianant","Motocicleta","Home","Conductor",31,"Ferit lleu",4588237.98,430069.4
"10125",7,43,700784,"0014 0014","Dijous",2015,"Abril",16,9,"No és causa del  vianant","Turismo","Home","Vianant",7,"Ferit lleu",4588886.02,429539.54
"10126",7,43,700784,"0020 0020","Divendres",2015,"Juliol",24,7,"No és causa del  vianant","Turismo","Home","Conductor",56,"Ferit lleu",4588886.02,429539.54
"10127",7,43,102703,"0002 0002","Divendres",2015,"Octubre",30,9,"No és causa del  vianant","Motocicleta","Home","Conductor",38,"Ferit lleu",4587537.14,429838.09
"10129",7,43,351901,"0052 0060","Dimarts",2015,"Setembre",22,6,"No és causa del  vianant","Turismo","Home","Conductor",28,"Ferit lleu",4587944.84,429754.76
"10130",7,43,351901,"0078 0078","Dijous",2015,"Març",12,12,"No és causa del  vianant","Motocicleta","Home","Conductor",24,"Ferit lleu",4587985.71,429858
"10132",7,43,352507,"0189 0189","Diumenge",2015,"Març",8,12,"No és causa del  vianant","Turismo","Home","Conductor",34,"Ferit lleu",4587910.14,428999.89
"10135",7,43,356009,"0007 0007","Dimecres",2015,"Novembre",11,8,"No és causa del  vianant","Motocicleta","Home","Passatger",8,"Ferit lleu",4587515.11,429390.6
"10136",7,43,700651,"0012 0012","Dilluns",2015,"Juliol",27,2,"No és causa del  vianant","Motocicleta","Home","Conductor",35,"Ferit lleu",4587130.92,429532.24
"10137",7,43,157104,"0200 0200","Diumenge",2015,"Maig",31,2,"No és causa del  vianant","Motocicleta","Home","Conductor",24,"Ferit lleu",4587439.52,429515.2
"10140",7,43,320103,"0067 0067","Dimarts",2015,"Desembre",15,11,"No és causa del  vianant","Turismo","Home","Vianant",77,"Ferit lleu",4587264.98,429670.29
"10142",7,34,170601,"0000 0000","Dilluns",2015,"Gener",26,10,"No és causa del  vianant","Motocicleta","Home","Conductor",51,"Ferit lleu",4585433.55,429930.88
"10144",7,43,312706,"0060 0060","Dissabte",2015,"Gener",24,5,"No és causa del  vianant","Turismo","Home","Vianant",38,"Ferit lleu",4586989.08,430147.17
"10146",7,43,316208,"0030 0030","Divendres",2015,"Març",20,9,"No és causa del  vianant","Turismo","Home","Passatger",7,"Ferit lleu",4586843.71,429794.01
"10148",7,34,365702,"0067 0067","Divendres",2015,"Març",20,6,"No és causa del  vianant","Motocicleta","Home","Conductor",26,"Ferit lleu",4585349.36,430286.94
"10149",7,43,117201,"0036 0036","Dijous",2015,"Novembre",19,8,"No és causa del  vianant","Motocicleta","Home","Conductor",44,"Ferit lleu",4586893.4,430047.86
"10151",7,34,222909,"0106 0106","Dimarts",2015,"Abril",28,2,"No és causa del  vianant","Motocicleta","Home","Conductor",58,"Ferit lleu",4585755.43,430194.41
"10153",7,37,275304,"0000 0000","Dimecres",2015,"Abril",15,5,"No és causa del  vianant","Turismo","Home","Vianant",26,"Ferit lleu",4586289.42,429371.29
"10156",7,37,181801,"0024 0028","Dimarts",2015,"Abril",14,3,"No és causa del  vianant","Motocicleta","Home","Conductor",59,"Ferit lleu",4586331.41,429641.45
"10157",7,37,179901,"0119 0119","Divendres",2015,"Juliol",24,10,"No és causa del  vianant","Motocicleta","Home","Conductor",27,"Ferit lleu",4586637.61,429220.12
"10158",7,37,54305,"0016 0016","Diumenge",2015,"Juliol",26,3,"No és causa del  vianant","Turismo","Home","Conductor",40,"Ferit lleu",4585943.5,429747.72
"10159",7,33,45100,"0005 0007","Dimecres",2015,"Abril",15,6,"No és causa del  vianant","Motocicleta","Home","Conductor",35,"Ferit lleu",4584982.73,430461.88
"10161",7,37,275304,"0007 0009","Divendres",2015,"Febrer",20,7,"Desobeir el senyal del semàfor","Motocicleta","Home","Conductor",50,"Ferit lleu",4586425.26,429255.35
"10163",7,33,288703,"0029 0029","Dijous",2015,"Octubre",29,3,"No és causa del  vianant","Motocicleta","Home","Conductor",60,"Ferit lleu",4584921.76,430839.76
"10165",7,33,309202,"0010 0010","Dissabte",2015,"Octubre",31,10,"No és causa del  vianant","Turismo","Home","Passatger",4,"Ferit lleu",4584943.28,430456.62
"10166",7,33,309202,"0010 0010","Dissabte",2015,"Octubre",31,10,"No és causa del  vianant","Turismo","Home","Conductor",37,"Ferit lleu",4584943.28,430456.62
"10167",7,33,92803,"0013 0013","Dijous",2015,"Agost",6,11,"No és causa del  vianant","Motocicleta","Home","Conductor",45,"Ferit lleu",4585217.73,430540.43
"10168",7,33,92905,"0010I0010I","Dilluns",2015,"Setembre",21,7,"No és causa del  vianant","Motocicleta","Home","Conductor",33,"Ferit lleu",4584967.43,430962.65
"10170",7,33,109305,"0032 0032","Divendres",2015,"Gener",9,9,"Creuar per fora pas de vianants","Ciclomotor","Home","Vianant",60,"Ferit lleu",4584913.43,430323.87
"10172",7,33,76807,"0460 0460","Diumenge",2015,"Juliol",19,5,"No és causa del  vianant","Motocicleta","Home","Conductor",22,"Ferit lleu",4584729.28,430371.19
"10173",7,33,56504,"0083 0085","Dissabte",2015,"Maig",16,6,"No és causa del  vianant","Ciclomotor","Home","Conductor",44,"Ferit lleu",4585232.58,430212.11
"10175",7,35,140509,"0004B0004B","Dimarts",2015,"Abril",14,10,"No és causa del  vianant","Motocicleta","Home","Conductor",34,"Ferit lleu",4585635.82,431547.83
"10176",7,35,217206,"0093 0093","Dissabte",2015,"Octubre",24,12,"No és causa del  vianant","Motocicleta","Home","Conductor",42,"Ferit lleu",4585878.21,431118.07
"10177",7,35,293601,"0073 0073","Divendres",2015,"Gener",23,9,"No és causa del  vianant","Motocicleta","Home","Conductor",37,"Ferit lleu",4585980.28,430811.46
"10178",7,35,152803,"0009 0009","Dimecres",2015,"Març",4,7,"No és causa del  vianant","Motocicleta","Home","Conductor",37,"Ferit lleu",4586061.56,431177.77
"10180",7,35,334403,"0023 0023","Divendres",2015,"Setembre",4,10,"No és causa del  vianant","Camión <= 3,5 Tm","Home","Passatger",38,"Ferit lleu",4585782.07,431477.19
"10181",7,35,217206,"0042 0042","Divendres",2015,"Agost",28,2,"No és causa del  vianant","Motocicleta","Home","Conductor",36,"Ferit lleu",4586035,431300.32
"10182",7,35,365702,"0150 0152","Divendres",2015,"Agost",21,3,"No és causa del  vianant","Motocicleta","Home","Conductor",34,"Ferit lleu",4585710.41,430888.13
"10183",7,35,365702,"0150 0152","Dimecres",2015,"Juny",17,10,"No és causa del  vianant","Ciclomotor","Home","Conductor",43,"Ferit lleu",4585710.41,430888.13
"10184",7,35,365702,"0154 0154","Dimecres",2015,"Abril",8,9,"No és causa del  vianant","Motocicleta","Home","Conductor",41,"Ferit lleu",4585734.78,430904.99
"10185",7,35,141807,"0038 0038","Dimecres",2015,"Juny",24,1,"No és causa del  vianant","Motocicleta","Home","Conductor",41,"Ferit lleu",4585842.68,431544.25
"10186",7,35,141807,"0044 0044","Dilluns",2015,"Gener",5,9,"No és causa del  vianant","Ciclomotor","Home","Conductor",17,"Ferit lleu",4585842.68,431544.25
"10188",7,35,3100,"0006 0006","Diumenge",2015,"Abril",12,6,"No és causa del  vianant","Motocicleta","Home","Conductor",27,"Ferit lleu",4586308.79,431319.08
