"","Codi.districte","Codi.barri","Codi.carrer","Num.postal.caption","Descripció.dia.setmana","NK.Any","Nom.mes","Dia.de.mes","Hora.de.dia","Descripció.causa.vianant","Desc..Tipus.vehicle.implicat","Descripció.sexe","Descripció.tipus.persona","Edat","Descripció.victimització","Coordenada.UTM..Y.","Coordenada.UTM..X."
"3031",10,68,115603,"0097 0097","Dimarts",2015,"Novembre",3,8,"No és causa del  vianant","Turismo","Dona","Passatger",32,"Ferit lleu",4584237.45,433623.01
"3033",10,68,242906,"0333 0333","Dilluns",2015,"Setembre",14,3,"No és causa del  vianant","Turismo","Home","Passatger",18,"Ferit lleu",4584386.9,433612.55
"3034",10,69,322608,"0009 0009","Diumenge",2015,"Desembre",13,1,"No és causa del  vianant","Ciclomotor","Home","Conductor",34,"Ferit lleu",4584297.2,434306.99
"3035",10,69,700892,"0095X0095X","Dilluns",2015,"Juny",22,1,"No és causa del  vianant","Ciclomotor","Dona","Passatger",38,"Ferit lleu",4584565.44,434885.06
"3036",10,69,701265,"000600000","Divendres",2015,"Maig",8,6,"No és causa del  vianant","Motocicleta","Home","Conductor",51,"Ferit lleu",4584321.79,434743.24
"3037",10,69,701266,"000600000","Dimecres",2015,"Desembre",9,7,"No és causa del  vianant","Motocicleta","Home","Conductor",39,"Ferit lleu",4584332.53,434731.89
"3039",10,69,701278,"0262X0262X","Dissabte",2015,"Octubre",31,12,"No és causa del  vianant","Turismo","Dona","Conductor",27,"Ferit lleu",4584607.14,434640.54
"3040",10,66,183603,"0161 0161","Diumenge",2015,"Desembre",6,6,"No és causa del  vianant","Motocicleta","Home","Conductor",45,"Ferit lleu",4584399.72,432531.07
"3041",10,66,30500,"0108 0108","Dijous",2015,"Octubre",15,8,"No és causa del  vianant","Ciclomotor","Home","Conductor",41,"Ferit lleu",4583690.51,432701.83
"3042",10,66,30500,"0108 0108","Dijous",2015,"Juliol",23,6,"No és causa del  vianant","Motocicleta","Home","Conductor",34,"Ferit lleu",4583690.51,432701.83
"3043",10,69,700654,"0081 0081","Divendres",2015,"Octubre",30,11,"No és causa del  vianant","Turismo","Dona","Passatger",22,"Ferit lleu",4583949.58,434417.76
"3044",10,69,700654,"0081 0081","Divendres",2015,"Octubre",30,11,"No és causa del  vianant","Turismo","Dona","Passatger",24,"Ferit lleu",4583949.58,434417.76
"3046",10,69,700892,"0015X0015X","Dimecres",2015,"Juliol",8,8,"No és causa del  vianant","Bicicleta","Home","Conductor",36,"Ferit lleu",4583678.43,433982.83
"3047",10,66,11200,"0193X0193X","Dilluns",2015,"Octubre",19,4,"No és causa del  vianant","Turismo","Dona","Vianant",66,"Ferit lleu",4583791.82,432815.47
"3048",10,69,701265,"0024S0000","Dilluns",2015,"Octubre",26,10,"No és causa del  vianant","Motocicleta","Home","Conductor",43,"Ferit lleu",4584101.32,434522.9
"3049",10,69,701265,"0024S0000","Dijous",2015,"Juny",4,4,"No és causa del  vianant","Turismo","Home","Passatger",28,"Ferit lleu",4584101.32,434522.9
"3050",10,69,701266,"000640000","Dissabte",2015,"Febrer",28,6,"No és causa del  vianant","Camión > 3,5 Tm","Home","Conductor",28,"Ferit lleu",4584049.57,434443.92
"3051",10,69,701266,"000650000","Divendres",2015,"Agost",21,1,"No és causa del  vianant","Turismo","Home","Conductor",34,"Ferit lleu",4583978.79,434371.96
"3052",10,69,701266,"000660000","Divendres",2015,"Octubre",23,7,"No és causa del  vianant","Motocicleta","Home","Conductor",50,"Ferit lleu",4583908.15,434299.84
"3053",10,66,144601,"0240 0252","Dilluns",2015,"Octubre",5,9,"No és causa del  vianant","Motocicleta","Dona","Conductor",26,"Ferit lleu",4584177.22,432435.03
"3054",10,69,701278,"0134X0134X","Divendres",2015,"Juny",19,9,"No és causa del  vianant","Turismo","Home","Conductor",36,"Ferit lleu",4583883.1,433960.69
"3055",10,69,144601,"0003 0035","Dissabte",2015,"Novembre",7,9,"No és causa del  vianant","Motocicleta","Dona","Passatger",30,"Ferit lleu",4584820.48,434602.85
"3056",10,66,701414,"020630000","Dissabte",2015,"Agost",22,2,"No és causa del  vianant","Motocicleta","Dona","Conductor",44,"Ferit lleu",4584412.61,432505.8
"3057",10,66,701414,"020630000","Divendres",2015,"Febrer",20,9,"No és causa del  vianant","Motocicleta","Home","Conductor",26,"Ferit lleu",4584412.61,432505.8
"3058",10,66,11200,"0060 0060","Dilluns",2015,"Juny",29,9,"No és causa del  vianant","Motocicleta","Dona","Conductor",40,"Ferit lleu",4582984.87,432012.46
"3059",10,66,270901,"0027 0027","Dimarts",2015,"Gener",27,8,"No és causa del  vianant","Motocicleta","Home","Conductor",38,"Ferit lleu",4583041.08,432399.95
